uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
e4e6e48c-79b6-4b57-8363-bc518750eee8,['Sachsen'],Landkreis,TotalEnergies Truckstop,['Meißen'],Dresden,"438","201","26967","167"
00060712-0006-4444-8888-acdcffffffff,['Sachsen'],Landkreis,Sigmund Hoffmann,['Landkreis Vogtlandkreis'],Chemnitz,"4360","254","62360","163"
e3ab6579-0b05-492e-8e74-c46e47923e71,['Sachsen'],Landkreis,Shell,['Meißen'],Dresden,"1102","7138","14396","167"
799b98aa-ddf5-4ea5-ac15-3b87c9e16c2c,['Sachsen'],Landkreis,,['Sächsische Schweiz-Osterzgebirge'],Dresden,"16","16845","33783","148"
07549ce7-1d29-4166-b64f-17955d9fb69c,['Sachsen'],Landkreis,Shell,['Zwickau'],Chemnitz,"2173","5477","21890","337"
e25a6779-fe06-4bb2-b81a-da4c0ca6724c,['Sachsen'],Landkreis,bft,['Landkreis Vogtlandkreis'],Chemnitz,"1437","10371","52583","163"
6df261d9-e486-499a-b140-81428dc53058,['Sachsen'],Landkreis,bft,['Landkreis Vogtlandkreis'],Leipzig,"7936","8761","100992","163"
e1a15081-261d-9107-e040-0b0a3dfe563c,['Sachsen'],Stadtkreis,HEM,['Leipzig'],Leipzig,"310","6341","4976","2087"
e1a15081-2610-9107-e040-0b0a3dfe563c,['Sachsen'],Stadtkreis,HEM,['Dresden'],Dresden,"602","2260","3092","1726"
e1a15081-2609-9107-e040-0b0a3dfe563c,['Sachsen'],Stadtkreis,HEM,['Chemnitz'],Chemnitz,"837","4058","3104","1134"
e1a15081-25c6-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Nordsachsen'],Leipzig,"544","35067","47500","98"
e1a15081-25bf-9107-e040-0b0a3dfe563c,['Sachsen'],Stadtkreis,HEM,['Leipzig'],Leipzig,"624","2494","5580","2087"
e1a15081-25ba-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Zwickau'],Chemnitz,"1546","6664","31065","337"
e1a15081-2584-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Sächsische Schweiz-Osterzgebirge'],Dresden,"255","3109","16126","148"
f61b0683-9fa8-49b0-90e7-623f5b5d7c48,['Sachsen'],Landkreis,TotalEnergies,['Landkreis Vogtlandkreis'],Chemnitz,"8862","16415","63587","163"
e1a15081-2525-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Bautzen'],Dresden,"1334","8877","32574","126"
e1a15081-251f-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Zwickau'],Chemnitz,"1672","2073","16297","337"
6f0e103d-3d00-423b-bff7-b191cb59096c,['Sachsen'],Landkreis,Shell,['Mittelsachsen'],Chemnitz,"5715","6343","35381","146"
e1a15081-24dc-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Nordsachsen'],Leipzig,"5718","24877","30974","98"
e1a15081-24da-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Nordsachsen'],Chemnitz,"198","16257","58767","98"
e1a15081-24be-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Bautzen'],Dresden,"3625","6293","18054","126"
e169518b-d317-4429-8bab-19270f2f46ae,['Sachsen'],Landkreis,ARAL,['Landkreis Vogtlandkreis'],Chemnitz,"327","2274","69279","163"
704abd95-f6ba-4b24-a0d0-74efe6fd9f7e,['Sachsen'],Landkreis,ARAL,['Landkreis Vogtlandkreis'],Chemnitz,"1210","3204","65914","163"
0adac893-77c4-42de-b017-cb36da02bed3,['Sachsen'],Stadtkreis,ARAL,['Dresden'],Dresden,"4","3080","2773","1726"
1b6c1e3f-ab7b-4779-a708-63eae93eda54,['Sachsen'],Landkreis,ESSO,['Landkreis Erzgebirgskreis'],Chemnitz,"3","14111","14569","186"
dd979897-df6a-44ad-92de-a555bbd2fe4c,['Sachsen'],Landkreis,Shell,['Mittelsachsen'],Chemnitz,"385","18073","28432","146"
dd1afc97-829b-42ef-b64f-8045a23877e6,['Sachsen'],Landkreis,GO,['Bautzen'],Dresden,"472","25329","56472","126"
dc5b86e3-dbeb-4029-82fa-607c82ae9f36,['Sachsen'],Landkreis,TotalEnergies Autohof,['Zwickau'],Chemnitz,"6469","422","28551","337"
1048ccbc-2c5f-46c8-8e4a-d5380f8c4552,['Sachsen'],Landkreis,ARAL,['Zwickau'],Chemnitz,"162","4514","32634","337"
da9bd0f9-c080-42e5-2936-b93e991f10d6,['Sachsen'],Landkreis,GULF,['Görlitz'],Dresden,"6155","7748","72732","122"
da6c8b69-9845-4fcf-85aa-67b709b164b0,['Sachsen'],Stadtkreis,ESSO,['Dresden'],Dresden,"1633","866","6435","1726"
da422627-848f-429a-adbd-30e8c9b0b3a7,['Sachsen'],Stadtkreis,SB,['Dresden'],Dresden,"1600","10928","11020","1726"
da105a81-a8a9-4679-a6a7-635410d5f97a,['Sachsen'],Landkreis,Shell,['Landkreis Erzgebirgskreis'],Chemnitz,"964","30317","25475","186"
